,primaryTitle,averageRating,runtimeNumber,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,Production_Budget,Worldwide_Gross,Release_dt,gross_log,hyped
32190,Enchanted,7.0,107.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85000000,340384141,2007-11-21,19.645585367209335,False
32211,Code Name: The Cleaner,4.6,84.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,8135024,2007-01-05,15.911689371771303,False
32214,Daddy Day Camp,3.1,89.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,18209872,2007-08-08,16.717474477489464,False
32218,Grindhouse,7.5,191.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,53000000,50187789,2007-04-06,17.731282327985816,True
32227,Larry the Cable Guy: Health Inspector,3.3,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17000000,15680099,2006-03-24,16.56790295041722,False
32228,The Last Legion,5.4,101.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67000000,25357771,2007-08-17,17.048595828784244,False
32235,Rambo,7.0,92.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47500000,112214531,2008-01-25,18.535923061382622,False
32239,School for Scoundrels,5.9,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,17807569,2006-09-29,16.6951342057549,False
32240,The Simpsons Movie,7.3,87.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72500000,527071022,2007-07-27,20.082845865926128,True
32244,Step Up,6.5,104.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12000000,110989157,2006-08-11,18.524943078830354,False
32255,"You, Me and Dupree",5.6,110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54000000,130402010,2006-07-14,18.686132629117054,False
32269,28 Weeks Later,7.0,100.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15000000,64232714,2007-05-11,17.978023218307932,False
32278,The Fast and the Furious: Tokyo Drift,6.0,104.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85000000,157794205,2006-06-16,18.876802248338198,False
32279,Freedom Writers,7.5,123.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21000000,43632609,2007-01-05,17.591315364534502,True
32285,The History Boys,6.8,109.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3700000,13447998,2006-11-21,16.414340879710085,False
